لە باخچەیەکی جوانی کوردستاندا، کوڕێکی گەنج بە ناوی ئازاد دەژیا. ئەو هەموو ڕۆژێک چووبووە قوتابخانە و فێری زانست و زانیاری دەبوو.
ژیانی ڕۆژانە: آزاد لە ئەژنۆدا هەڵدەستا، أمینی دەگوت و نوێژی بەیانیی دەکرد. پاشان چایی شیرین دەخواردەوە. دایکی گوڵناز نانی تازە و پەنیری کوردی بۆی ئامادە دەکرد. ڕۆیشتنی بۆ قوتابخانە ڕێگەیەکی دوور بوو، ئەگەر کاروان ؤ ئۆتۆمبێلیش نەبوایە.
لە قوتابخانەدا: لە پۆلدا، مامۆستا ڕەحیم وانەی ئێژەلۆژیا، فیزیک و طەبیعەتی فێری دەکردن. ئازاد زۆر حەزی لە ریاضی، کیمیا و ڤێتەرینەری بوو. هەروەها وانەی ئەدەبیاتیش دەخوێند و شیعری کوردی حەفز دەکرد. ظاهیرە خوێندکارێکی زیرەک بوو.
حەدیسە قوتابخانەکە: یەکێ لە مامۆستایان حەدیثێکی جوانی گێڕایەوە: "صابیری و صبوری ڕاستی خاوەنەکەیان دەردەخات." آیا ئەم ثابیتە بوو کە قوتابیەکان دەیانزانی؟ أکید بەڵێ!
هاوڕێیان و چالاکیەکان: لەگەڵ هاوڕێکانی وەک ژیان، چیا، هێوا، ڕوژان، شادی، ڤیان ؤ یاسین یاری دەکردن. گاه تۆپی پێ دەدا، گاهیش شەخ و مەخ دەکردن. ڤۆلیبالیش یارییەکی بەناوبانگ بوو. لە کاتی پشوودا گۆرانیکانی هەلبەستیش دەڵێن. آرەزوو بوو هەموویان کۆببنەوە.
ئێوارە لە ماڵەوە: ئێوارە گەڕاوە ماڵ، ئەرکەکانی قوتابخانەی دەکرد و پاشان فیلمی کوردی دەبینی یان کتێبی میژووی کورد دەخوێندەوە. ڕۆژنامە ؤ ژۆرنالیش دەخوێندەوە. ضەروری بوو زانیاریەکانی نوێ بخوێنێتەوە. ئیرادە و هەنگاوی بەهێز پێویست بوو.
خواردن و خواردنەوە: خواردنی دڵخوازی طاوە و ڕیز بوو. ثاردووی سارد و ظەرفەکانی جوانیش بەکاردەهێنا. صەحنەکانی خواردنی لەسەر ڤیترینەکە دادەنا. ئەگەر آش ؤ نانیش هەبوایە، أحسەن دەبوو.
پێگەیشتن و فێربوون: لە ڕێگەی فێربوونیدا، ئازاد ثابیت بوو لەسەر ئەوەی کە صیرە و صبوری پێویستە. ضەمانەتی سەرکەوتن ظاهیر دەبێت کاتێ مرۆڤ بەردەوام دەبێت. آینده‌ی ڕووناک أمەل بوو.
ناوەکان و شوێنەکان: هاوڕێکانی: یوسف، یار، یەکتا ؤ یاران. شوێنەکانی جوان: آمەد، ئەربیل، سلێمانی. هەموو جارێ ڕووی بۆ ئاسۆ دەکرد.
نامەی کۆتایی: "سڵاو لەسەر هەموو هاوڕێکان! ژیان جوانە کاتێ شادی ؤ خۆشی تێدایە. أمین!"
ء ا ب پ ت ج چ ح خ د ر ڕ ز ژ س ش ع غ ف ڤ ق ک گ ل ڵ م ن ه و ۆ ی ە ێ ٠١٢٣٤٥٦٧٨٩ ، ؛ ؟ . ! % ( ) - « » : / + ٪ \
اءا ااا ابا اپا اتا اجا اچا احا اخا ادا ارا
اڕا ازا اژا اسا اشا اعا اغا افا اڤا اقا اکا
اگا الا اڵا اما انا اها اوا اۆا ایا اەا اێا
اءب ااب ابب اپب اتب اجب اچب احب اخب ادب ارب
اڕب ازب اژب اسب اشب اعب اغب افب اڤب اقب اکب
اگب الب اڵب امب انب اهب اوب اۆب ایب اەب اێب
بءب باب ببب بپب بتب بجب بچب بحب بخب بدب برب
بڕب بزب بژب بسب بشب بعب بغب بفب بڤب بقب بکب
بگب بلب بڵب بمب بنب بهب بوب بۆب بیب بەب بێب
بءا باا ببا بپا بتا بجا بچا بحا بخا بدا برا
بڕا بزا بژا بسا بشا بعا بغا بفا بڤا بقا بکا
بگا بلا بڵا بما بنا بها بوا بۆا بیا بەا بێا
